Sample,Condition,Experiment
AJ04-10-PetB_S22,PSB_SI,AJ04
AJ04-1-CoH-B6_S13,B6_CH_SI,AJ04
AJ04-2-CoH-IFNAR_S14,IFNAR_CH_SI,AJ04
AJ04-3-CoH-IFNLR_S15,IFNLR_CH_SI,AJ04
AJ04-4-CoH-IFNLAR_S16,IFNLAR_CH_SI,AJ04
AJ04-5-PetC_S17,PSC_SI,AJ04
AJ04-6-CoH-B6_S18,B6_CH_SI,AJ04
AJ04-7-CoH-IFNAR_S19,IFNAR_CH_SI,AJ04
AJ04-8-CoH-IFNLR_S20,IFNLR_CH_SI,AJ04
AJ04-9-CoH-IFNLAR_S21,IFNLAR_CH_SI,AJ04
AJ04c-11-SPF-B6_S23,B6_SPF_SI,AJ04
AJ04c-12-SPF-IFNAR_S24,IFNAR_SPF_SI,AJ04
AJ04c-13-SPF-IFNLR_S25,IFNLR_SPF_SI,AJ04
AJ04c-14-SPF-IFNLAR_S26,IFNLAR_SPF_SI,AJ04
AK02-1-CoH-B6_S1,B6_CH_SI,AK02
AK02-2-CoH-B6-IFN_S2,B6_IFN_CH_SI,AK02
AK02-3-CoH-IFNAR_S3,IFNAR_CH_SI,AK02
AK02-4-PetA_S4,PetA_SI,AK02
AK02-5-CoH-B6_S5,B6_CH_SI,AK02
AK02-6-CoH-B6-IFN_S6,B6_IFN_CH_SI,AK02
AK02-7-CoH-IFNAR_S7,IFNAR_CH_SI,AK02
AK02-8-PetA_S8,PetA_SI,AK02
AK03-11-CoH-B6_S9,B6_CH_SI,AK03
AK03-13-CoH-IFNAR_S10,IFNAR_CH_SI,AK03
AK03-14-PetA_S11,PetA_SI,AK03
Liz-AK03-15-PetB_S12,PetB_SI,AK03
